year,date,name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adj,EUR_adj,GBP_adj,JPY_adj,CNY_adj,"Gross domestic product per capita, current prices (National currency)","Gross domestic product per capita, current prices (U.S. dollars)","Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Unemployment rate (Percent of total labor force)
2001,2001-04-01,Brazil,BRA,BRL,3.6,2.19,1.6438356164383563,-0.35282,-0.27315,-0.42234,-0.30668,0.37484,,,,,,,,"7,467.02","3,177.94","11,517,926,859,177.80",6.84,12.5
2001,2001-04-01,Britain,GBR,GBP,1.99,0.699300699,2.845700001223651,0.12035,0.25827,0.0,0.20023,1.38004,,,,,,,,,,,,
2001,2001-04-01,Canada,CAN,CAD,3.33,1.56,2.1346153846153846,-0.1596,-0.05615,-0.24988,-0.09969,0.78531,,,,,,,,"36,954.88","23,859.71",97.783,2.525,7.225
2001,2001-04-01,Chile,CHL,CLP,1260.0,601.0,2.0965058236272878,-0.1746,-0.073,-0.26327,-0.11576,0.75344,,,,,,,,"2,903,487.03","4,572.87",58.723,3.565,9.867
2001,2001-04-01,China,CHN,CNY,9.9,8.28,1.1956521739130437,-0.52927,-0.47132,-0.57984,-0.49571,0.0,,,,,,,,"8,649.30","1,044.96",70.954,0.7,3.6
2001,2001-04-01,Czech Republic,CZE,CZK,56.0,39.0,1.435897435897436,-0.43469,-0.3651,-0.49542,-0.39438,0.20093,,,,,,,,"252,064.03","6,627.10",75.758,4.663,8.113
2001,2001-04-01,Denmark,DNK,DKK,24.75,8.46,2.9255319148936167,0.15178,0.29357,0.02805,0.2339,1.44681,,,,,,,,"256,397.77","30,806.61",79.25,2.269,4.508
2001,2001-04-01,Euro area,EUZ,EUR,2.57,1.136363636,2.261600000723712,-0.10961,0.0,-0.20526,-0.04613,0.89152,,,,,,,,,,,,
2001,2001-04-01,Hong Kong,HKG,HKD,10.7,7.8,1.3717948717948718,-0.45992,-0.39344,-0.51794,-0.42142,0.14732,,,,,,,,,,,,
2001,2001-04-01,Hungary,HUN,HUF,399.0,303.0,1.316831683168317,-0.48156,-0.41774,-0.53726,-0.4446,0.10135,,,,,,,,"1,509,676.47","5,269.61",63.153,9.157,5.74
2001,2001-04-01,Indonesia,IDN,IDR,14700.0,10855.0,1.3542146476278212,-0.46684,-0.40121,-0.52412,-0.42883,0.13262,,,,,,,,"8,558,977.96",834.139,33.506,11.466,8.1
2001,2001-04-01,Japan,JPN,JPY,294.0,124.0,2.370967741935484,-0.06655,0.04836,-0.16682,0.0,0.98299,,,,,,,,"4,181,893.67","34,410.68",96.618,-0.694,5.042
2001,2001-04-01,Malaysia,MYS,MYR,4.52,3.8,1.1894736842105262,-0.5317,-0.47406,-0.58201,-0.49832,-0.00517,,,,,,,,"15,918.40","4,189.05",81.56,1.427,3.675
2001,2001-04-01,Mexico,MEX,MXN,21.9,9.29,2.357373519913886,-0.0719,0.04235,-0.1716,-0.00573,0.97162,,,,,,,,"70,619.41","7,558.98",49.426,6.367,2.768
2001,2001-04-01,New Zealand,NZL,NZD,3.6,2.47,1.45748987854251,-0.42619,-0.35555,-0.48783,-0.38528,0.21899,,,,,,,,"32,492.35","13,667.83",102.626,2.626,5.475
